AVVB1;AVVB2;AVVB3;AVVB4;AVVB5;AVVB6;AVVB7;AVVB8;AVVB9;AVVB10;AVVB11;AVVB12;AVVB13;AVVB14;AVVB15;AVVB16;AVVB17;AVVB18;AVVB19;AVVB20;AVVB21;AVVB22;AVVB23;AVVB24;AVVB25;AVVB26;AVVB27;AVVB28;AVVB29;AVVB30;AVVB31;AVVB32;AVVB33;AVVB34;AVVB35;AVVB35a;AVVB35b;AVVB36;AVVB37;AVVB38;AVVB39;AVVB40;AVVB41;AVVB42;AVVB43;AVVB44;AVVB45;AVVB46;AVVB47;AVVB48;AVVB49;AVVB50;AVVB51;AVVB52;AVVB53;AVVB54;AVVB55;AVVB56;AVVB57;AVVB58;AVVB59;AVVB60;AVVB61;AVVB62;AVVB63
0,845645384;0,898997778;0,807024359;0,864148422;0,896345904;0,727694993;0,730549901;1,08588136;1,189759208;1,249486458;1,841594025;1,106586696;1,086135152;1,02514101;0,732243579;0,745529883;0,703624055;0,744096213;0,692689218;0,833620792;0,636938743;0,549593673;0,540297611;0,534818797;0,516323011;0,636126606;0,420242294;0,449398408;0,573804455;0,566896116;0,487848512;0,601369444;0,724858731;0,741613189;0,763538802;0,702165525;0,774478819;0,555822469;0,73314273;0,595414122;0,536005925;0,7625516;0,715280907;0,694343532;0,536497972;0,618263748;0,835035816;0,657940343;0,6801674;0,719927902;0,611570873;0,656940711;0,581914425;0,612965179;0,585474774;0,662342869;0,62681397;0,658553589;0,722726872;0,976086517;0,681357635;0,620063086;0,734600225;0,826451409;0,588618695
0,728323777;0,83609035;0,763677611;0,869519503;1,18755173;0,772413257;0,509921221;0,773064831;1,048013425;1,349002181;1,106586696;2,393821962;1,221749512;1,596619896;1,146510869;1,406831684;1,277523812;1,203556205;1,051558235;1,132526376;1,173023396;1,129865179;0,808011561;0,917232521;0,900653128;1,168477917;0,64433395;0,578702135;0,923986513;1,160937686;1,197138876;1,300765004;0,537389872;1,015781759;0,872934827;1,20196508;0,978820227;0,613740023;0,847316272;0,696383196;0,783480688;0,827603317;0,750345728;0,855328869;0,998613981;0,875365021;1,356715405;1,121594647;1,141125286;0,70469102;0,768096711;0,8139876;0,893948858;0,790101051;1,023692838;0,931773285;0,918569853;0,951329822;0,887948993;0,926379415;0,893136722;0,747416235;0,875040788;0,871770489;0,736896789
0,89175899;0,9364959;0,851261971;0,891418183;1,002523424;1,159919926;0,888157724;0,971922764;1,076166281;0,92099176;1,086135152;1,221749512;2,03170906;1,369382248;0,924185921;0,940113223;0,887293793;0,858485738;0,788104376;0,977518633;0,787107852;0,730862222;0,689139747;0,767777139;0,647507912;0,840428133;0,565811541;0,472377519;0,763882199;0,850822236;0,652698748;0,845341869;0,908181964;1,043719668;1,042368352;0,974868831;0,919287205;0,678318339;0,859830321;0,7231231;0,649209876;0,85112627;0,82464482;0,910941053;0,763167954;0,800308695;0,931458375;0,798292338;0,879944684;0,860010566;0,744321001;0,873256988;0,895988522;0,900877915;0,912962589;0,90395036;0,854391908;0,907807491;0,952845326;0,975532317;0,927007163;0,874875564;0,967465337;0,857463835;0,730511573
0,63119267;0,839810225;0,792801612;0,865075542;1,190318587;0,97337249;0,560529546;0,776134168;1,067420793;1,252720502;1,02514101;1,596619896;1,369382248;2,215288676;1,244490369;1,205333789;1,199118459;1,109120479;0,980841245;1,099450461;1,106188915;1,153876035;0,728623149;1,007178706;0,835992977;1,138824577;0,572250623;0,481833108;0,74893174;1,049997151;1,105759021;1,162411755;0,674249369;1,114372433;0,906029388;1,230738951;0,948376504;0,624112373;0,888626464;0,763325409;0,846419193;0,853856871;0,736656463;0,901222866;0,996270802;0,794826774;1,264001326;0,848786198;1,010094732;0,649263742;0,67554423;0,808334758;0,934459344;0,770597345;1,114724635;0,972709521;1,016936775;1,028165804;0,957632166;1,012964143;0,977614453;0,791325471;0,86296233;0,728011975;0,787358019
0,560591699;0,729042684;0,645891926;0,691859471;1,094493735;0,687500971;0,419045325;0,712408907;1,012417712;0,947356154;0,732243579;1,146510869;0,924185921;1,244490369;2,327726588;1,192126213;1,285136038;1,216943508;0,934016502;1,103073481;1,231922453;1,23677559;0,684129155;0,991808713;0,769924018;1,095920672;0,580713831;0,456888917;0,738746368;1,175741049;1,163375131;1,099346872;0,496931181;1,08879117;0,776804906;1,20096493;0,856728872;0,563865107;0,815490156;0,701511361;0,898938732;0,851489866;0,612370579;0,862747383;1,061205463;0,751215874;1,252544401;0,824264131;0,993634466;0,563883235;0,645135727;0,6455708;0,884379322;0,653686986;1,070735636;0,884343066;1,021611221;0,985406923;0,820812033;0,950121976;0,891754847;0,729739319;0,694721113;0,665128372;0,748040876
0,572508559;0,693937463;0,650517167;0,714198404;1,054747735;0,729505726;0,457406861;0,621520581;0,919910292;0,996088486;0,745529883;1,406831684;0,940113223;1,205333789;1,192126213;2,260482413;1,961222555;1,805109001;1,213717234;1,313169767;1,354844591;1,342013042;1,027598137;1,307871198;1,027880935;1,435564119;0,853394865;0,747115828;0,864034474;1,24232329;1,228953079;1,207358951;0,452618985;0,97336731;0,875416816;1,286306074;0,99374427;0,687382362;0,839130682;0,799641583;0,885185243;0,763888932;0,679086968;1,030692336;1,103928607;0,993724588;1,399602219;1,049093857;1,240982851;0,71504576;0,809877195;0,842553258;0,956365275;0,95009815;1,13581325;1,101038478;1,131494632;1,110517892;1,02870861;0,917092676;1,039494279;0,858226248;0,8765998;0,865378022;0,791442526
0,566613318;0,725372531;0,670426941;0,747616162;1,093045564;0,72781153;0,446874466;0,627145972;0,924305048;0,935824645;0,703624055;1,277523812;0,887293793;1,199118459;1,285136038;1,961222555;2,292518814;1,756078852;1,292667982;1,364785493;1,424796577;1,472023763;1,058042378;1,415435254;1,018796194;1,499019014;0,823684551;0,70443412;0,850798411;1,291171124;1,262770691;1,260935096;0,430034547;1,01642401;0,859537165;1,306438046;1,006349478;0,678958518;0,827022701;0,82033397;0,964449348;0,780788415;0,692910898;1,066002144;1,203687763;1,010388924;1,436260236;1,047317826;1,242437238;0,701610806;0,806115885;0,827380601;1,014128481;0,986288982;1,191101719;1,158600722;1,239958875;1,212279938;1,109299688;0,93384817;1,084307845;0,893964914;0,951025788;0,809602685;0,833005475
0,602361825;0,69448752;0,631809024;0,693247562;1,036263344;0,688644592;0,492867909;0,61965132;0,886054871;1,052595159;0,744096213;1,203556205;0,858485738;1,109120479;1,216943508;1,805109001;1,756078852;2,456644965;1,241640122;1,359150261;1,395351451;1,357159283;0,997846906;1,345460996;1,004801343;1,434825013;0,881300661;0,754503784;0,833913431;1,253381916;1,254721838;1,206566496;0,448820382;0,939985808;0,826207457;1,163961962;0,96800607;0,632897742;0,817331966;0,759677528;0,879542759;0,68489105;0,628085005;1,068622942;1,021568231;0,907867054;1,332200071;0,954450435;1,164248385;0,607899167;0,723130869;0,710926032;0,883824085;0,911363177;1,069524683;1,068882432;1,098342579;1,107582703;0,983863967;0,918584355;1,006999498;0,823244817;0,851435482;0,7938779;0,762502913
0,636319282;0,705083622;0,629644017;0,670965603;0,926427066;0,712638874;0,54407187;0,668858088;0,902442625;0,878841462;0,692689218;1,051558235;0,788104376;0,980841245;0,934016502;1,213717234;1,292667982;1,241640122;1,854064567;1,266505586;1,40810738;1,432127559;0,725789476;1,048228372;0,737003486;1,07389147;0,587938116;0,518412398;0,701925716;0,982949796;1,006848258;1,037416287;0,618682246;1,01967152;0,845808537;1,104867639;0,952689425;0,579002543;0,723947667;0,700141917;0,77674845;0,711359034;0,610029471;0,887058647;0,928335172;0,890824619;1,29196306;0,864299144;0,934365078;0,714784199;0,671399641;0,789914591;0,955515847;0,987390131;1,095325554;1,011382341;1,017114429;1,086840074;1,091167498;0,882561338;0,981562223;0,811613862;0,915313538;0,814293187;0,69871498
0,741224731;0,73872306;0,663906024;0,721268342;0,904636118;0,83308472;0,654922282;0,760468947;0,948855602;0,954146402;0,833620792;1,132526376;0,977518633;1,099450461;1,103073481;1,313169767;1,364785493;1,359150261;1,266505586;2,154225648;1,440306934;1,345492073;0,921611739;1,293873756;0,864894262;1,309318852;0,684991532;0,648388417;0,740181073;1,06392726;1,066535109;1,113636952;0,69706481;1,092354626;0,977756887;1,276160065;1,130612573;0,670691093;0,843231247;0,817339217;0,917040881;0,78029326;0,657897872;1,043437388;0,973590026;0,996871617;1,390390064;0,936186688;1,082420457;0,825517556;0,747341652;0,916020531;1,045977905;1,026182078;1,124938494;1,137332898;1,167671478;1,189031496;1,092421959;1,071869934;1,103847807;0,933674659;1,046643463;0,991355512;0,845668174
